Unnamed: 0	sentence	label
10	 Path: cantaloupe.srv.cs.cmu.edu!das-news.harvard.edu!noc.near.net!uunet!gatech!howland.reston.ans.net!usenet.ins.cwru.edu!cleveland.Freenet.Edu!cj195 From: cj195@cleveland.Freenet.Edu (John W. Redelfs) Newsgroups: talk.religion.misc Subject: Re: Who's next?  Mormons and Jews? Date: 26 Apr 1993 02:04:54 GMT Organization: Case Western Reserve University, Cleveland, OH (USA) Lines: 17 Message-ID: <1rfg06$8mm@usenet.INS.CWRU.Edu> References: <C5sDyp.C6E@bony1.bony.com> <C5sL3z.2B2@murdoch.acc.Virgi	talk.religion.misc
11	 Newsgroups: talk.religion.misc Path: cantaloupe.srv.cs.cmu.edu!crabapple.srv.cs.cmu.edu!fs7.ece.cmu.edu!europa.eng.gtefsd.com!howland.reston.ans.net!zaphod.mps.ohio-state.edu!saimiri.primate.wisc.edu!doug.cae.wisc.edu!davinci.ece.wisc.edu!irfan From: irfan@davinci.ece.wisc.edu (Irfan Alan) Subject: A TREATISE ON THE MIRACLES OF MUHAMMAD SAW, PART-1 Organization: Univ. of Wisconsin-Madison; Electrical & Computer Engineering Distribution: usa Date: 15 Apr 93 02:48:44 CDT Message-ID: <1993Apr15.02	talk.religion.misc
12	 Xref: cantaloupe.srv.cs.cmu.edu alt.atheism:54482 talk.religion.misc:84566 Newsgroups: alt.atheism,talk.religion.misc Path: cantaloupe.srv.cs.cmu.edu!magnesium.club.cc.cmu.edu!news.sei.cmu.edu!cis.ohio-state.edu!pacific.mps.ohio-state.edu!zaphod.mps.ohio-state.edu!cs.utexas.edu!utnut!torn!watserv2.uwaterloo.ca!beetle.watstar.uwaterloo.ca!GMILLS From: GMILLS@CHEMICAL.watstar.uwaterloo.ca (Phil Trodwell) Subject: Re: Moral relativism -- what if we all agree? (was Re: After 2000 etc) Message-ID: <	talk.religion.misc
13	" Xref: cantaloupe.srv.cs.cmu.edu talk.abortion:120358 alt.atheism:52938 talk.religion.misc:83455 Path: cantaloupe.srv.cs.cmu.edu!das-news.harvard.edu!noc.near.net!howland.reston.ans.net!europa.eng.gtefsd.com!fs7.ece.cmu.edu!news.sei.cmu.edu!bb3.andrew.cmu.edu!andrew.cmu.edu!dsav+ From: ""David R. Sacco"" <dsav+@andrew.cmu.edu> Newsgroups: talk.abortion,alt.atheism,talk.religion.misc Subject: Re: After 2000 years, can we say that Christian Morality is Date: Thu, 15 Apr 1993 13:14:31 -0400 Organizat"	talk.religion.misc
14	 Xref: cantaloupe.srv.cs.cmu.edu alt.atheism:53972 talk.religion.misc:84233 talk.origins:41124 Newsgroups: alt.atheism,talk.religion.misc,talk.origins Path: cantaloupe.srv.cs.cmu.edu!magnesium.club.cc.cmu.edu!news.sei.cmu.edu!cis.ohio-state.edu!zaphod.mps.ohio-state.edu!howland.reston.ans.net!ira.uka.de!rz.uni-karlsruhe.de!stepsun.uni-kl.de!sun.rhrk.uni-kl.de!efes.physik.uni-kl.de!kring From: kring@efes.physik.uni-kl.de (Thomas Kettenring) Subject: Re: After 2000 years, can we say that Christian	talk.religion.misc
15	 Xref: cantaloupe.srv.cs.cmu.edu alt.conspiracy:21898 talk.politics.misc:179014 talk.religion.misc:83930 Path: cantaloupe.srv.cs.cmu.edu!magnesium.club.cc.cmu.edu!news.sei.cmu.edu!fs7.ece.cmu.edu!europa.eng.gtefsd.com!howland.reston.ans.net!agate!dog.ee.lbl.gov!network.ucsd.edu!ivem.ucsd.edu!spl From: spl@ivem.ucsd.edu (Steve Lamont) Newsgroups: alt.conspiracy,talk.politics.misc,talk.religion.misc Subject: Re: A Message for you Mr. President: How do you know what happened? Date: 23 Apr 1993 20:2	talk.religion.misc
16	 Xref: cantaloupe.srv.cs.cmu.edu talk.religion.misc:83494 alt.atheism:53013 talk.abortion:120440 Newsgroups: talk.religion.misc,alt.atheism,talk.abortion Path: cantaloupe.srv.cs.cmu.edu!das-news.harvard.edu!noc.near.net!uunet!quack!pharvey From: pharvey@quack.kfu.com (Paul Harvey) Subject: Christians above the Law? was Clarification of personal position Message-ID: <f1660vi@quack.kfu.com> Followup-To: talk.religion.misc Organization: The Duck Pond public unix: +1 408 249 9630, log in as 'guest'.	talk.religion.misc
17	 Xref: cantaloupe.srv.cs.cmu.edu alt.atheism:54157 talk.religion.misc:84349 talk.origins:41164 Path: cantaloupe.srv.cs.cmu.edu!crabapple.srv.cs.cmu.edu!fs7.ece.cmu.edu!europa.eng.gtefsd.com!howland.reston.ans.net!zaphod.mps.ohio-state.edu!cs.utexas.edu!utnut!torn!nott!bnrgate!bnr.co.uk!uknet!pipex!doc.ic.ac.uk!cs.city.ac.uk!not-for-mail From: lionel@cs.city.ac.uk (Lionel Tun) Newsgroups: alt.atheism,talk.religion.misc,talk.origins Subject: Re: Burden of Proof Date: 22 Apr 1993 21:21:39 +0100 Org	talk.religion.misc
18	 Xref: cantaloupe.srv.cs.cmu.edu talk.religion.misc:83757 talk.politics.misc:178806 sci.skeptic:43395 Path: cantaloupe.srv.cs.cmu.edu!magnesium.club.cc.cmu.edu!news.sei.cmu.edu!fs7.ece.cmu.edu!europa.eng.gtefsd.com!howland.reston.ans.net!zaphod.mps.ohio-state.edu!uwm.edu!linac!uchinews!mimsy!afterlife!tecsun1!descartes!riggs From: riggs@descartes.etl.army.mil (Bill Riggs) Newsgroups: talk.religion.misc,talk.politics.misc,sci.skeptic Subject: Re: Who's next? Mormons and Jews? Message-ID: <2008@te	talk.religion.misc
19	 Path: cantaloupe.srv.cs.cmu.edu!crabapple.srv.cs.cmu.edu!fs7.ece.cmu.edu!europa.eng.gtefsd.com!howland.reston.ans.net!usc!sdd.hp.com!think.com!cass.ma02.bull.com!cass.ma02.bull.com!not-for-mail From: ddavis@cass.ma02.bull.com (Dave Davis) Newsgroups: talk.religion.misc Subject: Re: Christian meta-ethics Date: 22 Apr 1993 08:11:56 -0400 Organization: Bull World Wide Information Systems, Inc. Lines: 117 Distribution: na Message-ID: <1r622c$c17@cass.ma02.bull.com> NNTP-Posting-Host: cass.ma02.bull	talk.religion.misc
20	 Xref: cantaloupe.srv.cs.cmu.edu alt.atheism:53674 talk.religion.misc:84017 Newsgroups: alt.atheism,talk.religion.misc Path: cantaloupe.srv.cs.cmu.edu!crabapple.srv.cs.cmu.edu!bb3.andrew.cmu.edu!news.sei.cmu.edu!cis.ohio-state.edu!pacific.mps.ohio-state.edu!zaphod.mps.ohio-state.edu!howland.reston.ans.net!usc!cs.utexas.edu!utnut!torn!watserv2.uwaterloo.ca!beetle.watstar.uwaterloo.ca!GMILLS From: GMILLS@CHEMICAL.watstar.uwaterloo.ca (Phil Trodwell) Subject: Re: Societal basis for morality Message	talk.religion.misc
21	 Xref: cantaloupe.srv.cs.cmu.edu talk.religion.misc:83796 talk.politics.misc:178846 sci.skeptic:43502 Path: cantaloupe.srv.cs.cmu.edu!rochester!udel!gatech!howland.reston.ans.net!usc!elroy.jpl.nasa.gov!nntp-server.caltech.edu!juliet.caltech.edu!lmh From: lmh@juliet.caltech.edu (Henling, Lawrence M.) Newsgroups: talk.religion.misc,talk.politics.misc,sci.skeptic Subject: Re: Who's next?  Mormons and Jews? Date: 23 Apr 1993 00:27 PDT Organization: California Institute of Technology Lines: 9 Distrib	talk.religion.misc
22	 Newsgroups: talk.religion.misc Path: cantaloupe.srv.cs.cmu.edu!crabapple.srv.cs.cmu.edu!bb3.andrew.cmu.edu!news.sei.cmu.edu!fs7.ece.cmu.edu!europa.eng.gtefsd.com!emory!athena!hudson From: hudson@athena.cs.uga.edu (Paul Hudson Jr) Subject: Re: Clarification of personal position Message-ID: <C5rBHt.Fw4@athena.cs.uga.edu> Organization: University of Georgia, Athens References: <C5MuIw.AqC@mailer.cc.fsu.edu> Date: Tue, 20 Apr 1993 00:46:39 GMT Lines: 26 In article <C5MuIw.AqC@mailer.cc.fsu.edu> dle	talk.religion.misc
23	 Xref: cantaloupe.srv.cs.cmu.edu talk.religion.misc:83798 misc.legal:60874 Path: cantaloupe.srv.cs.cmu.edu!crabapple.srv.cs.cmu.edu!bb3.andrew.cmu.edu!news.sei.cmu.edu!magnesium.club.cc.cmu.edu!pitt.edu!pogo.isp.pitt.edu!joslin From: joslin@pogo.isp.pitt.edu (David Joslin) Newsgroups: talk.religion.misc,misc.legal Subject: Re: Silence is concurance Message-ID: <9157@blue.cis.pitt.edu> Date: 16 Apr 93 16:31:13 GMT References: <1993Apr16.130432.19062@linus.mitre.org> Sender: news+@pitt.edu Followu	talk.religion.misc
24	 Xref: cantaloupe.srv.cs.cmu.edu talk.religion.misc:84107 talk.politics.guns:54867 soc.culture.jewish:63510 Path: cantaloupe.srv.cs.cmu.edu!crabapple.srv.cs.cmu.edu!bb3.andrew.cmu.edu!news.sei.cmu.edu!cis.ohio-state.edu!zaphod.mps.ohio-state.edu!howland.reston.ans.net!noc.near.net!transfer.stratus.com!sw.stratus.com!cdt From: cdt@sw.stratus.com (C. D. Tavares) Newsgroups: talk.religion.misc,talk.politics.guns,soc.culture.jewish Subject: Re: Who's next?  Mormons and Jews? Followup-To: talk.politi	talk.religion.misc
25	 Newsgroups: talk.religion.misc Path: cantaloupe.srv.cs.cmu.edu!das-news.harvard.edu!noc.near.net!news.centerline.com!uunet!Cadence.COM!stevep From: stevep@Cadence.COM (Steve Peterson) Subject: Re: Question on Sabbath question; Correction Message-ID: <1993Apr20.171354.8727@Cadence.COM> Organization: Cadence Design Systems, Inc. References: <1qbna6$b1s@usenet.INS.CWRU.Edu> <C5H6sB.K4o@mailer.cc.fsu.edu> Date: Tue, 20 Apr 1993 17:13:54 GMT Lines: 13 >> There are a few groups that continue to belie	talk.religion.misc
26	 Newsgroups: talk.religion.misc Path: cantaloupe.srv.cs.cmu.edu!crabapple.srv.cs.cmu.edu!fs7.ece.cmu.edu!europa.eng.gtefsd.com!howland.reston.ans.net!newsserver.jvnc.net!glassboro.edu!kilroy From: kilroy@gboro.rowan.edu (Dr Nancy's Sweetie) Subject: Re: Food For Thought On Tyre Message-ID: <1993Apr22.042653.23854@gboro.rowan.edu> Summary: Another Inerrantist rewrites the Bible. Keywords: Scripture, implication, prophesy, `Woof!' Organization: Rowan College of New Jersey Disclaimer: Brandy the Wo	talk.religion.misc
27	 Xref: cantaloupe.srv.cs.cmu.edu talk.abortion:121182 alt.atheism:53789 talk.religion.misc:84104 Newsgroups: talk.abortion,alt.atheism,talk.religion.misc Path: cantaloupe.srv.cs.cmu.edu!magnesium.club.cc.cmu.edu!news.sei.cmu.edu!cis.ohio-state.edu!zaphod.mps.ohio-state.edu!sdd.hp.com!nigel.msen.com!heifetz!rotag!kevin From: kevin@rotag.mi.org (Kevin Darcy) Subject: Re: After 2000 years, can we say that Christian Morality is Message-ID: <1993Apr24.170554.5593@rotag.mi.org> Organization: Who, me??	talk.religion.misc
28	 Xref: cantaloupe.srv.cs.cmu.edu alt.atheism:53268 talk.religion.misc:83664 talk.origins:40925 Newsgroups: alt.atheism,talk.religion.misc,talk.origins Path: cantaloupe.srv.cs.cmu.edu!magnesium.club.cc.cmu.edu!news.sei.cmu.edu!cis.ohio-state.edu!zaphod.mps.ohio-state.edu!sol.ctr.columbia.edu!usenet.ucs.indiana.edu!sunflower.bio.indiana.edu!adpeters From: adpeters@sunflower.bio.indiana.edu (Andy Peters) Subject: Re: Rawlins debunks creationism Message-ID: <C5sIJr.7DF@usenet.ucs.indiana.edu> Sender	talk.religion.misc
29	 Xref: cantaloupe.srv.cs.cmu.edu talk.abortion:118692 talk.religion.misc:82796 Newsgroups: talk.abortion,talk.religion.misc Path: cantaloupe.srv.cs.cmu.edu!crabapple.srv.cs.cmu.edu!fs7.ece.cmu.edu!europa.eng.gtefsd.com!gatech!mailer.cc.fsu.edu!garnet.acns.fsu.edu!dlecoint From: dlecoint@garnet.acns.fsu.edu (Darius_Lecointe) Subject: Re: Spreading Christianity (Re: Christian Extremist Kills Doctor) References: <Yfk8p=q00WBM47T0sJ@andrew.cmu.edu> Sender: usenet@mailer.cc.fsu.edu Organization: Flor	talk.religion.misc
30	 Xref: cantaloupe.srv.cs.cmu.edu talk.abortion:121319 alt.atheism:53907 talk.religion.misc:84194 Path: cantaloupe.srv.cs.cmu.edu!crabapple.srv.cs.cmu.edu!fs7.ece.cmu.edu!europa.eng.gtefsd.com!howland.reston.ans.net!usc!sdd.hp.com!sgiblab!sgigate!odin!fido!solntze.wpd.sgi.com!livesey From: livesey@solntze.wpd.sgi.com (Jon Livesey) Newsgroups: talk.abortion,alt.atheism,talk.religion.misc Subject: Re: After 2000 years, can we say that Christian Morality is Date: 22 Apr 1993 05:16:26 GMT Organizatio	talk.religion.misc
31	 Xref: cantaloupe.srv.cs.cmu.edu alt.magick:10042 alt.pagan:29932 talk.religion.misc:84227 Path: cantaloupe.srv.cs.cmu.edu!crabapple.srv.cs.cmu.edu!bb3.andrew.cmu.edu!news.sei.cmu.edu!fs7.ece.cmu.edu!europa.eng.gtefsd.com!howland.reston.ans.net!news.cac.psu.edu!psuvm!cunyvm!a54si Organization: City University of New York Date: Wednesday, 21 Apr 1993 19:52:17 EDT From: <A54SI@CUNYVM.BITNET> Message-ID: <93111.195217A54SI@CUNYVM.BITNET> Newsgroups: alt.magick,alt.pagan,talk.religion.misc Subject: 	talk.religion.misc
32	 Xref: cantaloupe.srv.cs.cmu.edu soc.culture.celtic:18870 talk.religion.misc:84009 Path: cantaloupe.srv.cs.cmu.edu!crabapple.srv.cs.cmu.edu!bb3.andrew.cmu.edu!news.sei.cmu.edu!cis.ohio-state.edu!zaphod.mps.ohio-state.edu!howland.reston.ans.net!agate!dog.ee.lbl.gov!inti.lbl.gov!mike From: mike@inti.lbl.gov (Michael Helm) Newsgroups: soc.culture.celtic,talk.religion.misc Subject: Re: Religion and history; The real discuss Followup-To: talk.religion.misc Date: 21 Apr 1993 16:41:03 GMT Organization:	talk.religion.misc
33	 Xref: cantaloupe.srv.cs.cmu.edu talk.religion.misc:83761 talk.politics.misc:178813 sci.skeptic:43402 Path: cantaloupe.srv.cs.cmu.edu!crabapple.srv.cs.cmu.edu!fs7.ece.cmu.edu!europa.eng.gtefsd.com!gatech!purdue!haven.umd.edu!cs.umd.edu!mojo.eng.umd.edu!russotto From: russotto@eng.umd.edu (Matthew T. Russotto) Newsgroups: talk.religion.misc,talk.politics.misc,sci.skeptic Subject: Re: Who's next?  Mormons and Jews? Date: 22 Apr 1993 03:14:51 GMT Organization: Project GLUE, University of Maryland, 	talk.religion.misc
34	 Xref: cantaloupe.srv.cs.cmu.edu alt.atheism:53296 talk.religion.misc:83685 talk.origins:40931 Path: cantaloupe.srv.cs.cmu.edu!crabapple.srv.cs.cmu.edu!bb3.andrew.cmu.edu!news.sei.cmu.edu!cis.ohio-state.edu!zaphod.mps.ohio-state.edu!swrinde!elroy.jpl.nasa.gov!decwrl!morrow.stanford.edu!pangea.Stanford.EDU!salem From: salem@pangea.Stanford.EDU (Bruce Salem) Newsgroups: alt.atheism,talk.religion.misc,talk.origins Subject: The Universe and Black Holes, was Re: 2000 years..... Date: 20 Apr 1993 02:1	talk.religion.misc
35	 Xref: cantaloupe.srv.cs.cmu.edu alt.magick:9927 talk.religion.newage:19622 alt.pagan:29687 talk.religion.misc:83673 Path: cantaloupe.srv.cs.cmu.edu!magnesium.club.cc.cmu.edu!news.sei.cmu.edu!cis.ohio-state.edu!zaphod.mps.ohio-state.edu!howland.reston.ans.net!usenet.ins.cwru.edu!cleveland.Freenet.Edu!ch981 From: ch981@cleveland.Freenet.Edu (Tony Alicea) Newsgroups: alt.magick,talk.religion.newage,alt.pagan,talk.religion.misc Subject: Re: Freemasonry and the Southern Baptist Convention Date: 20 A	talk.religion.misc
36	 Xref: cantaloupe.srv.cs.cmu.edu alt.atheism:53520 talk.religion.misc:83890 talk.origins:40990 Path: cantaloupe.srv.cs.cmu.edu!das-news.harvard.edu!noc.near.net!howland.reston.ans.net!zaphod.mps.ohio-state.edu!cs.utexas.edu!uunet!olivea!quack!pharvey From: pharvey@quack.kfu.com (Paul Harvey) Newsgroups: alt.atheism,talk.religion.misc,talk.origins Subject: Re: After 2000 years, can we say that Christian Morality is oxymoronic? Message-ID: <f11nyW3@quack.kfu.com> Date: 16 Apr 93 18:40:44 GMT Refer	talk.religion.misc
37	 Xref: cantaloupe.srv.cs.cmu.edu alt.magick:9928 alt.pagan:29693 talk.religion.misc:83680 Path: cantaloupe.srv.cs.cmu.edu!crabapple.srv.cs.cmu.edu!bb3.andrew.cmu.edu!news.sei.cmu.edu!cis.ohio-state.edu!zaphod.mps.ohio-state.edu!sdd.hp.com!sgiblab!cs.uoregon.edu!news.uoregon.edu!netnews.nwnet.net!news.u.washington.edu!cpac.washington.edu!joshua From: joshua@cpac.washington.edu (Joshua Geller) Newsgroups: alt.magick,alt.pagan,talk.religion.misc Subject: Re: Merlin, Mithras and Magick Followup-To: 	talk.religion.misc
38	 Xref: cantaloupe.srv.cs.cmu.edu talk.religion.misc:84291 alt.religion.kibology:8354 alt.spam:29 Path: cantaloupe.srv.cs.cmu.edu!das-news.harvard.edu!noc.near.net!howland.reston.ans.net!usc!newshub.sdsu.edu!saturn!dfranich From: dfranich@saturn.sdsu.edu (David Franich) Newsgroups: talk.religion.misc,alt.religion.kibology,alt.spam Subject: Re: New Religion Forming -- Sign Up Followup-To: talk.religion.misc,alt.religion.kibology,alt.spam Date: 26 Apr 1993 04:13:03 GMT Organization: San Diego State	talk.religion.misc
39	 Xref: cantaloupe.srv.cs.cmu.edu alt.atheism:53749 talk.religion.misc:84067 talk.origins:41067 Path: cantaloupe.srv.cs.cmu.edu!das-news.harvard.edu!noc.near.net!howland.reston.ans.net!usenet.ins.cwru.edu!po.CWRU.edu!kmr4 From: kmr4@po.CWRU.edu (Keith M. Ryan) Newsgroups: alt.atheism,talk.religion.misc,talk.origins Subject: Re: After 2000 years, can we say that Christian Morality is Date: Sat, 17 Apr 1993 01:13:13 GMT Organization: Case Western Reserve University Lines: 23 Message-ID: <kmr4.1600.	talk.religion.misc
40	 Xref: cantaloupe.srv.cs.cmu.edu talk.abortion:121406 alt.atheism:54010 talk.religion.misc:84259 Newsgroups: talk.abortion,alt.atheism,talk.religion.misc Path: cantaloupe.srv.cs.cmu.edu!crabapple.srv.cs.cmu.edu!bb3.andrew.cmu.edu!news.sei.cmu.edu!cis.ohio-state.edu!zaphod.mps.ohio-state.edu!caen!uvaarpa!murdoch!poe.acc.Virginia.EDU!rwd4f From: rwd4f@poe.acc.Virginia.EDU (Rob Dobson) Subject: Re: After 2000 posts, can we say that this thread is dead? Message-ID: <C5vyD7.Etn@murdoch.acc.Virginia.E	talk.religion.misc
41	 Xref: cantaloupe.srv.cs.cmu.edu talk.abortion:120869 talk.politics.misc:178972 talk.religion.misc:83894 Path: cantaloupe.srv.cs.cmu.edu!crabapple.srv.cs.cmu.edu!bb3.andrew.cmu.edu!news.sei.cmu.edu!cis.ohio-state.edu!zaphod.mps.ohio-state.edu!cs.utexas.edu!geraldo.cc.utexas.edu!usenet From: taite@ccwf.cc.utexas.edu () Newsgroups: talk.abortion,talk.politics.misc,talk.religion.misc Subject: Re: Tieing Abortion to Health Reform -- Is Clinton Nuts? Date: 16 Apr 1993 18:17:37 GMT Organization: The U	talk.religion.misc
42	 Xref: cantaloupe.srv.cs.cmu.edu alt.magick:9921 alt.pagan:29677 talk.religion.misc:83642 Newsgroups: alt.magick,alt.pagan,talk.religion.misc Path: cantaloupe.srv.cs.cmu.edu!das-news.harvard.edu!noc.near.net!howland.reston.ans.net!zaphod.mps.ohio-state.edu!cs.utexas.edu!newsfeed.rice.edu!rice!swaim From: swaim@owlnet.rice.edu (Michael Parks Swaim) Subject: Re: OTO, the Ancient Order of Oriental Templars Message-ID: <C5Kntp.5n1@rice.edu> Sender: news@rice.edu (News) Organization: Rice University 	talk.religion.misc
43	 Xref: cantaloupe.srv.cs.cmu.edu talk.abortion:120533 alt.atheism:53079 talk.religion.misc:83551 Path: cantaloupe.srv.cs.cmu.edu!das-news.harvard.edu!noc.near.net!uunet!mcsun!Germany.EU.net!thoth.mchp.sni.de!horus.ap.mchp.sni.de!D012S658!frank From: frank@D012S658.uucp (Frank O'Dwyer) Newsgroups: talk.abortion,alt.atheism,talk.religion.misc Subject: Re: After 2000 years, can we say that Christian Morality is Date: 15 Apr 1993 21:12:01 GMT Organization: Siemens-Nixdorf AG Lines: 50 Message-ID: <1	talk.religion.misc
44	 Newsgroups: talk.religion.misc Path: cantaloupe.srv.cs.cmu.edu!magnesium.club.cc.cmu.edu!news.sei.cmu.edu!cis.ohio-state.edu!zaphod.mps.ohio-state.edu!cs.utexas.edu!uunet!news.cs.jhu.edu!jyusenkyou!arromdee From: arromdee@jyusenkyou.cs.jhu.edu (Ken Arromdee) Subject: Re: Is it good that Jesus died? Message-ID: <C62Ar1.LDt@blaze.cs.jhu.edu> Sender: news@blaze.cs.jhu.edu (Usenet news system) Organization: Johns Hopkins University CS Dept. References: <sandvik-210493225220@sandvik-kent.apple.com> 	talk.religion.misc
45	 Xref: cantaloupe.srv.cs.cmu.edu talk.religion.misc:83489 talk.politics.misc:178386 sci.skeptic:43230 Newsgroups: talk.religion.misc,talk.politics.misc,sci.skeptic Path: cantaloupe.srv.cs.cmu.edu!rochester!udel!darwin.sura.net!zaphod.mps.ohio-state.edu!sdd.hp.com!apollo.hp.com!netnews From: goykhman@apollo.hp.com (Red Herring) Subject: Re: Who's next?  Mormons and Jews? Sender: usenet@apollo.hp.com (Usenet News) Message-ID: <C5s9wB.2qF@apollo.hp.com> Date: Tue, 20 Apr 1993 13:09:47 GMT Nntp-Post	talk.religion.misc
