labels,text,original_idx
1,Why does Harrahs have all their employees pushing the rewards card when you have to wait in line over an hour and get crappy service just to get one?  Another classic example of corporate incompetency.,111409
2,Do not be fooled by its plain Jane looks. This place has great food  with daily specials that looks pretty solid. The breakfast plates are awesome. The have gaming and the machines are ok. I will definitely be back.,125521
1,"Don't Ever Loose Anything in MGM GRAND Las Vegas..... oh Hell No!!\n\nI am still recovering from this. I almost slapped some male security staff. I dam sure cussed them out. \n\nV.P of MGM Grand Security Steve Bohanan...  Steve... check with pretty boy Matt Freely... Security Shift Manager 01/03/2008. Morning\n\nI told Matt...Yo son talk with your underling because it is 7:00 am and I am tired of talking.\n\nMy AC Home Motorola Razr V9 charger has gone missing in the former largest hotel in the world. http://en.wikipedia.org/wiki/MGM_Grand_Las_Vegas\n\nThe Loss Prevention Investigation is going to take 7 to 10 days ie...weeks. In the meantime...the hotel is not that hip. The \""Business Center\"" did not have a charger to juice my baby up...  All they could suggest was that I go to the New Fry's Electronics. 8:00am Thank God I have a Avis Rental... I head up the Strip towards 15 .\n\nI'll Yelp all that later...  Housekeeping does not communicate Directly with Security.  \n\nMGM Security Employees are only required to have some college....no Guard Card.. and there is some Academy. I don't know about you but I would not feel safe in the MGM if anything were to go down. I was in ROTC. I have lived under Commendant Barnes for 44 years. I read police manuals for fun. I like to recite the Miranda rights. I belong to the SF Police Credit Union Circa 1982. I love a Man and a Woman in Uniform...  but not this crew of ragtags...oh lord.\n\nWhat CPR training have they had....??? They need Diversity Training. The Security Desk looks like a Judges Bench I craned my neck to talk to the guard. Why Lost and Found is not located near the Main Lobby I will never know.\n\nI do know MGM Grand better cough up my Motorola Charger. I had to go to 4 AT&T Stores to find a \""Travel AC Charger\"" (I will Yelp about that later also). Fry's Electronic only had Car Cigerette Lighter Chargers. I bought it... I had to have something.. I was not going to be on Pay Phones....  I had so many things to do on my last day in Las Vegas.. Susan R...Bless her Summerlin University of Phoenix 916 Area Code having gurl.... were trying to keep in contact...\n\nI will never stay at this Hotel again... and after I have Yelped my entire experience from the bottom to the top...they better comp me... for May 2008.",142002
1,"Description: Run-downed.  \n\nAfter watching O and Le Reve a couple years ago I figured let's watch KA, since it was a staple of MGM and close to Aria.  The performers dropped their weapons, the special effects were outdated.  After doing a Wiki on KA, the show is 5 years old; no wonder.\n\nThe only cool part is the inverted stage. And the soothing music.",155673
1,"Went with a big group of people on 10/20 for a friend's birthday and had a terrible experience. The server gave the table shots, strongly implying that it was because of my friend's birthday and they would be complimentary, received the bill later and we were all charged $10 per shot. Ridiculous, since this is supposedly a nice restaurant. Food was so-so and overpriced.",156094
1,"The drink specials are good. The atmosphere and decoration is awesome.\n\nThe service B-L-O-W-S. Our server was exceptionally horrible. Who takes away someones empty beer in the middle of the meal and doesn't ask if they want another? Thought she'd just come back with one but instead she didn't come back. Had to flag her down to get a bill and go find her to cash out. I'd like to go back to the downstairs and sit at the bar to eat and see if the service can be better because I really wanted this one to be good. Oh yeah, and the upstairs really smells bad. Did anyone else notice that one?",158743
2,"N9ne is almost industrial and plain in decor, which to me is their rightfully and wonderfully cocky statement of JUST how good their food and service is, that they don't need the fancy decoupage.\n\nWords will never be able to express my fabulous experience at N9ne Steakhouse inside the Palms. \n\nThe hostess even remembered to wish my husband happy birthday, double plus spec. when I made the reservation a month ago.\n\nDrinks: Glass of their house cab & a gin martini, both DELISH and served immediately so we could sip and people watch.\nApps: Raviolis & Wedge salad, sounds plain but theirs is flavorful and a treat for the eyes\nMain Course: Filet with Lobster, side of lobster mash potatoes and their special Bearnaise sauce, to die for. Hubby had bone-in porter house, huge and melted in his mouth. \nDessert: They brought out their \""Campfire Dessert\"" which is a pot on fire!!! (blue flame fire btw) with all the fixings for roasting your own smores, with a lovely birthday candle. The kitchen also sent us complimentary spicy crab cakes which we the best I have ever had.\n\nThey say you will always see someone famous there. We sat a table away from ESPN's Scott VanPelt, haven't the faintest idea who is, but my husband was pretty stoked.Heard Pete Rose was in there the night before, but we ran into him signing autographs in the Bellagio anways. \n\nI wish a diamond would have come with my steak, and I guess that's my only negative comment.....! Worth every penny (even though it was a lot of pennies :))",186959
1,"Have not been there in a while.sorry I came back, Place smell like Pine Sol real bad! Bearly no meat on the Gyro pita no dressing on the Greek salad.",192242
2,"Very tasty and well priced for Mexican food! I had the combination appetizer which came with tamales, beef tacos, taquitos, chimi's with a side of beans. The tamales tasted deliciously with the spicy salsa which is the perfect mix of chunky and spice. I wasn't very fond of the tacos and taquitos but the chimi's and tamales made up for it. This will definitely be my 1st choice when it comes to Mexican food.",195757
1,"I was in the area, so I decided to give it another shot.  This time I got the large combo and the patty was bigger and fatter, but still tasted pretty lackluster.\n\nWhat a waste of 12 bucks.",220599
2,"We have been here about 8 times now. Every time we have a great time. THe menu changes all the time, but always a lot of really good choices. \nLast night we ordered the Calamari starter. It was think pieces of cal steak ,lightly breaded and served with shaved bits of carrots and zuchinni. It was very good.\nFor dinner we had A tatse of China ,which was chicken and shrimp with brown rice(excellent) and I had the Burger with Sweet potato Fries, Another home Run.\n every time good, we are always happy. \nPlus they send out $7.00 coupons all the time. We used one last night as well. Fabulous savings. Clean bathrooms and lots of parking.",231255
2,"I have been here about a handful of times, the last time at a company Christmas dinner with my husband.  They were very generous with the appetizers for about 12 people and the service was excellent.\n\nMaybe it was the holiday spirit, but the mood just seemed great for a chill and relaxed evening with my hubby's coworkers.  No one even ordered alcohol, which was probably good because we would have been there all night.\n\nThe few other times I have been to Switch was with alcohol and their mixed drinks are really good.  There was a pomegranate and vodka drink that I recall being very original and tasty.  I think one of  their happy hours it's two for one, so ended up having at least two of the same thing.\n\nAnd any place that can serve lobster mac and cheese for about 10 bucks is always worth going to.",237876
1,"Mom is always right.\n\nYears ago my mom did a tour that included the Grand Canyon, the four corners and Vegas. The trip also included a trip to the Chocolate factory. She opted to gamble the 2.5 days she was there and ditched her friends for the casino. She told me that there was nothing to see...and she's right.\n\nFor some reason I was thinking vats of chocolates pouring all over the place with workers moving the vats with a crane and mixing machines mixing chocolate.\n\nAll I saw were employees gathered around the chocolate brittle doing their thing, another group just talking and not doing anything and the machines sitting idle. \n\nThis isn't really a factory. If you blown all your money at the casino and have nothing to do than this might fill up about 5 minutes of your precious time. \n\nThis place also has a M&M store. So you can buy, you know...more chocolate.",268607
1,"Bof... J'ai command\u00e9 un steak de surlonge coupe Baseball avec cuisson style Pittsburg. Avec \u00e7a, un accompagnement de l\u00e9gumes grill\u00e9es que notre serveuse nous avait tant vant\u00e9. \n\nR\u00e9sultat : La cuisson de ma viande \u00e9tait rat\u00e9e et la petite serveuse punkette avec ses cheveux en l'air s'est tromp\u00e9 et m'a servie des l\u00e9gumes vapeurs \u00e0 la place. Lorsque que je lui ai indiqu\u00e9 son erreur, elle a d'abord argument\u00e9 pour finalement se rectifier en consultant son carnet. \n\nQuand je lui ai dit que la cuisson n'\u00e9tait pas \u00e0 mon gout, elle m'a avou\u00e9 que la cuisson Pittsburg \u00e9tait une m\u00e9thode difficile et que \""les cuisiniers ne la maitrise pas tr\u00e8s bien ici\"" selon ses propres mots. Quoi ? Vous rigolez ? Vous auriez pu me dire \u00e7a avant, non ? Sinon quoi ? C'est un steak-house ici ou non ? Depuis quand un steak-house ne maitrise pas tous les types de cuisson de viande ? \n\nConclusion : tr\u00e8s difficile de trouver un bon resto dans ce coin de la rue Sherbrooke-Est. Ce n'est pas ici que \u00e7a va changer.",280703
1,Strange place... Rocking club like music with a pretty big Italian menu. We ordered the pizzas which were just ok.,289261
1,"Just moved to the area and decided to try Hungry Howies last night. I would NOT recommend to anyone. We ordered the two 1 topping pizzas, bread and 2 liter deal for 20.99 for carry out to save on delivery charge as we live less than two minutes away. The email confirmation said our order would be ready in 20 minutes, over an hour later my husband is finally home with our pizzas. The overwhelming aroma of garlic from the garlic crust took over our kitchen. Now, don't get me wrong...all of us love garlic, including the kids....BUT the sheer amount of garlic on and in the pizzas was enough to leave our mouths raw! It was disgusting...our always begging garbage disposals (aka dogs) sniffed, picked up and dropped, not touching it again. That right there speaks volumes. The sausage tasted freezer burnt, cheese was rubbery and crust was hard and chewy. We decided that it was pointless to call and complain bc we weren't going to use any comped food anyway.\n\nOverall...not happy with the product or service and will not be ordering from them again.",292571
2,"They don't make 'em like this anymore, and it's a shame.\n\nA greasy spoon / chippy / cafeteria hybrid, City Restaurant is not about atmospheric fine dining, but without even trying manages to have a hundred times more character than the vast majority of Edinburgh's more illustrious eateries.\n\nStudents, office workers, tourists and dossers. You'll find them all in here, damaging their health via the basic yet tasty grub. A window seat is tremendous for a bit of people watching, and it's the kind of place you won't feel like a weirdo sitting on your own. Just bring a paper.",301138
2,"Bit too many rhododendrons for me. \n\nBut - am I going to knock a star off what is a lovely tranquil space to spend a day? Not I, said the fly. I haven't visited RBGE since I was kneehigh to a lawnmower, when we went to the glasshouses to learn about the rainforest and the threat to it's existence (how times have changed, eh? eh?) and tried dried mango for the first time. Roll on twenty-something years, and it's taken into our heads to revisit. And it really hasn't changed in any way. It's still beautiful, although I swear it was all indoors the last time I visited! Honest! For the tourist wanting to do something not directly on the main drag, or the local wanting somewhere pleasant to picnic in the town, you can't really go wrong. \n\nEnjoy.",301404
1,"Very disappointing. I ordered the \""Pigs In A Bagel\"" (Two eggs, peppered bacon & tomato topped with cheddar, served on your choice of bagel with herb potato & fresh fruit) and I also asked the waitress \""how do the EGGS come?\"" And she said \""scrambled\"" so I just thought it was going to be a bagel, with scrambled eggs, slices of bacon on top, tomato, and topped with the cheddar cheese. I get my \""sandwich\"" and it's a little squished bagel with a gross omelette inside with tiny bits of bacon and tomato, like a drop of some white cheese, and some wilted lettuce, really un satisfying. The booth we were sitting at was so freezing that our food was cold within 5 minutes. The manager offered to get me something else so I just asked for a mixed berry smoothie to  go to play it safe. I thought it tasted kind of milky so I opened the lid and there was a huge pile of whip cream, yuck. Since when do breakfast sandwiches come with lettuce and smoothies come with whipped cream? Very strange. Our waitress also seemed like she could care less about us and I think we were there for almost 2 hours, super slow and ridiculous. Don't think I'll be going back there.",307883
1,"The chips were good,but is that saying much? I will give them kudos on their service,because they were very attentive. I ordered the carne asada burrito (and you know that's the thing I check for first usually if you are a Mexican establishment) with rice and beans. The burrito was average but the thing that didnt set well for me was their rice. It tasted like it was out the box.  This place has a long way to go to beat Vivo Michocan, Fausto's, Super Mex,etc...",310991
1,"My family of four eats out once a week, on average.  Last night was Fat Tuesday and we decided to finally try Rhythm Kitchen, hoping for a fun evening with good food.  What we experienced was anything but.   \n\nOur reservation for 6pm came and went as the restaurant ran out of menus and was unable to seat any patrons until already seated diners selected their meals.  The waiting area is unable to accommodate more than six people who are standing, so it was quite crowded.  We were finally seated in a room that appeared to have too many tables set up for a comfortable dining experience.  There was also a man playing a grand piano for the patrons.  Unfortunately, the low ceilings, loud conversation from too many people in a small room combined with his music made for an unbearable atmosphere.  And we hadn't ordered our meals yet.\n\nThe drink menu on the table boasts of a happy hour from 3-6:30 each evening.  There are also happy hour appetizers available on this menu.  I asked our waiter about the appetizers and he told me that the happy hour ended at 6pm.  I showed him the correct time printed in their menu and he then stated that the items had to be ordered in the lounge in order to take advantage of the specials.  I thought it was odd that the restaurant would place the menu for drinks on the table in the main dining areas only to add some caveat in order to take advantage of what they were offering at specific times of the day.  \n\nWe placed our meal orders (without being asked if we would like anything to drink, mind you) and attempted to speak with each other, but were unable to hear anything due to the noise level inside of the room.  We asked to be moved to a quieter location, which they were able to do, only to find ourselves in an even more cramped area.  The waiters had to turn sideways in order to squeeze between our table and the wall in order to serve booths on our right.  Because we had asked to move, we were now at the mercy of our harried and quite forgetful waiter as we weren't in his section any longer. We procured our own water and serving utensils at some point during the dinner.  \n\nMost restaurants in New Orleans carry Abita Beer.  It is a local beer and quite tasty with Cajun food.  In the aforementioned drink menu, Rhythm Kitchen was offering 2 for 1 Abita beers in honor of Mardi Gras last night.  Our waiter finally showed up at our table and my husband mentioned that I would like an Abita Beer.  With a confused look on his face, our waiter asked my husband to repeat himself.  He then stated that Rhythm Kitchen didn't carry that beer and he had never heard of it.  I showed him the menu and he left quickly without asking which Abita Beer I would like to order.  He returned with a dark stout beer and left so quickly that I was unable to stop him and ask for an amber, which I prefer.  He returned fifteen minutes later to check on us, giving me an opportunity to ask him to bring a beer that I would be able to drink as the stout had been sitting virtually untouched the entire time.  Our meal was almost over by the time I had an Abita that I've enjoyed during my trips to New Orleans, but I savored the taste.  Although I was concerned that it would take too long to get my second beer, my husband insisted as it is a difficult beer to find in Las Vegas.  \n\nHaving already spent two hours at RK, we didn't order dessert and asked for the check.  Our waiter, in one final moment of ineptness, had charged us $15 for the beer that I had ordered.  This is a good beer, but $15 for a draft beer (as it was 2 for 1) seemed a bit steep.  My husband went to the bar to ask the bartender how much a draft beer cost and bumped into our waiter.  After reviewing the bill, our waiter explained that we had been charged for a pitcher and apologized.  My husband came back to our table and our waiter stopped by with a revised check, having taken off the charge for beer entirely.  \n\nAlthough the food was good, the service and atmosphere were inexcusable.  I'd rather spend $150 on a memorable meal that conjures good feelings, not bad.  I won't be going back.",320062
2,"Yes...I'm reviewing a fast food restaurant.  Usually for me to review one, I had an awesome experience, really bad one, or because I'm the temporary Duke. For this Carl's Jr., it's because the service is great and I'm the current Duke.  Besides, this Carl's deserves their props.\n\nThis Carl's is conveniently sandwiched between Gold's Gym and Spartan Nutrition. I know, ironic. But when I'm in the mood for some high calorie, high fat, and workout killing burger, it's the Gold's and Spartan that whispers in my head \""don't do it\"".  And I usually don't.  I usually opt for their Turkey, Chicken, and Fish Burgers.  All are fast, cheap, healthy (depending what you have on it), and surprisingly good.  Carl's is one of those options that won't have leaving with that guilt feeling.\n\nAs for service, this had to be one of the better Carl's when it comes to that. Usually no wait here and the staff is friendly.  I don't think too many people eat here because it's a ghost town up here.  Don't let the look of the parking lot or drive through fool you, they are open.\n\nPS:   Sorry Carl's Jr.  I really wanted In-N-Out, but they were closed for Easter.  So, I settled with you guys.  But I learned that you have one killer Alantic Cod Sandwich.  I will be back for that for sure.",342051
2,"Amazing food, amazing service! My party of 7 was seated in the little private room off the bar, where we were served through a window by the bartender. Maybe not for everyone, but I loved the ambience and the bartender was very friendly and attentive.\n\nOne of our appetizers was late due to a kitchen mistake, and the house gave it to us for free in addition to giving us 2 free desserts! I am new to the Midwest and have never experienced such excellent service. It was absolutely unprecedented but so appreciated. \n\nI also loved how their vegetarian entree option wasn't the standard boring roast vegetables but a delicious mushroom manicotti. I would recommend if to omnivores as well, it was incredible! The walnuts were an extremely tasty touch to an already tender and flavorful dish. \n\nThis is one of the best restaurants I have ever been to and it has made me excited to return!",361911
2,"Good people, good care, very creative approach to wellness. I come from over twenty miles away just to see them.",364553
1,"Horrible service from the bartenders. I work right across the street and I will go to any other bar before I return here. I was ignored when I got there and the most shocking part was when they asked the lady sitting right next to me (who happened to just hit a royal) if she was doing ok, but still didn't ask me. I had to ask them for wine after they asked the big winner next to me. Not 2 seats over, literally right next to me! Thanks, but no thanks. A simple \""hello, can I get you something to drink?\"" would have made all the difference in the world. No more Timbers, N Durango, for this lady!",375409
1,"Each and every time I pickup a pizza here, I feel like I'm entering Chuck-E-Cheese. There is NEVER anyone up front, which I don't know how many staff are on at any given time of day, but if you have a list of 12 pizzas on the board, 5 of which are showing READY, I would suggest maybe having someone float near the front waiting for people entering the store?  This particular night, I walked in and noticed a male worker near the front, ignored me, and walked to the back. Shortly after, I heard a, \""I'll be right there!!!\"" from the back. Hmm..ok?  This was followed by giggling and bantering about how that statement could have also been said, to which said loud mouth replied asking if Yoo Hoo, Hold on a second, would be more appropriate?  Laughing afterwards again. When a human finally appeared at the register after my 5 minute wait, she asked my name and must have noticed I was not amused, and her tone changed.  I asked her to add dipping sauce onto my order and she said, no worries, gave me the same total. Ok...   I gave my card, and he got my pizza, asked if I needed anything else, and I said the blue cheese?  She started getting grated cheese, and I asked again for the blue cheese, to which she must have forgotten (giggle giggle), and got two for me. \nI don't mind having fun at work, but don't do it in front of customers waiting, and who may or may not have had a shitty day.  It's not amusing.  These workers act like children, and this is not the first time I've encountered this at this location.  I order from here because it's convenient for me from where I live and I know the consistency of Pizza hut pizza.   If these workers don't care about their customers, I can only worry that they don't care about the food they're preparing either and I'll be utilizing local, non-chain pizza places going forward. I've also sent a complaint to corporate.  Lesson?  Don't piss off someone who has had a shitty day by making them wait around and then acting like clowns.\n\n\nUPDATE: I received an email from corporate addressing the issue and apologizing saying they would contact the store manager. I received a phone call from the store manager apologizing and offering a $15 credit to my account which is valid only at this location. I am not positive I will use this as I don't trust the workers there. If they see this credit, what would they do to my order?  Very generous solution, and I thanked her, but probably won't be using that credit.",377873
1,The atmosphere is great. I went in on a Wednesday night and while everything else in Old Town was shutting down it was open and pretty busy.  You can sit outside and even inside is pretty open which I liked. Servers are really nice too.\nThe reason I gave it two stars is because I ordered the Bruschetta. It was disgusting. Not only did it taste bad and the cheese taste old but it was oily. Made me sick for the next 12 hours. Burgers looked good though but I didn't have a chance to try it.,381361
1,"Decidedly average..  I had a green chile cheese burger that supposedly had some \""zing\""- but it had none.  The daughter had Mac and cheese that was obviously right out of the Kraft box.  Some people like that .  Other than some decent sweet potato fries, nothing to differentiate this place from any other burger joint.",389501
1,"When we noticed that there was a Le Milsa in DDO, I was happy as we could take my dad to a 'typical' Brazilian Churrascaria. However, as soon as we arrived I knew it wouldn't be typical. What Brazilian restaurant doesn't serve Guaran\u00e1 (a Brazilian soft drink)  p\u00e3o de queijo (cheese bread), farofa (manioc flour) and vinagrete? Being married to a Brazilian, these are all things that you come to expect at that kind of a Brazilian restaurant. \n\nThen, I was further surprised by the fact that there was no salad bar. Not being much of a meat eater, I was looking forward to having the big choice of salads. Instead I had several pieces of sausage. \n\nAnother surprise was the fact that the pineapple with cinnamon was not included in the meal itself, but as one of the two choices for dessert (one scoop of ice cream being the other). There was no Brigadeiro or passion fruit mousse, no flan. Regarding the pineapple, it was good. However, when I took several pieces, we noticed the manager give a negative look at the waiter. It was because he gave it to me before dessert while the food was still being delivered to our table.\n\nOnce one of the waiters found out that one of us at the table was actually Brazilian, the service kind of improved a little. They were a little more attentive.\n\nRegarding the ambience, I was very surprised that the TV was playing a DVD from Carnival from 2011. I was surprised that they didn't get a more recent DVD. I \n\nIt is interesting to note that apart from my husband, there were no other Brazilians. It is obvious that their intended customer are non-Brazilians, and that they wanted to introduce their culture. Kudos to them. But if I were new to this cuisine and had no prior knowledge this is what I would expect if I went to another churrascaria. And if it were up to me, based on this visit, I would not.\n\nUpon arrival, I was a little shocked to notice two puddles of dried up vomit outside of the restaurant close to the steps from the street. I would have expected them to take care of the outside as well as the inside of the restaurant. After all, the entrance is the first thing a person sees when entering any establishment. A quick hosing down would have been appreciated. \n\nIn review, I was disappointed with our experience. It was expensive and did not have the basic food that I have experienced in other Churrascarias.",403504
2,"Ice Pan is located in Harrah's on the strip; go all the way to the back and up the escalators and it'll be on your left. As of May 2014, they only accept cash but it's not too expensive.\n\nIce Pan offers made-to-order ice cream using a base mixed with your choice of soy, nonfat, lowfat, or whole milk and is flavored using real ingredients, no artificial flavorings. Once the mix is blended, it is dumped on a super cold and freezing ice pan, scraped, and slapped against the pan to incorporate air until it is the texture of ice cream. \n\nSoy green tea with mochi mix -in - The matcha flavor was deep and the texture was just like ice cream, soft but yet firm and melted in your mouth, but doesn't melt as quickly as froyo. It's not too sweet at all - just lightly sweetened - and no heavy sugar coating on the tongue after it's finished.\n\nRed bean whole milk with mochi and caramel drizzle - the flavor really shined! I find that the red bean flavor often gets lost in a lot of frozen desserts, but you could definitely taste it in Ice Pan's ice cream.\n\nThere was no artificial aftertaste and both options of milk yielded a creamy texture. I think nonfat would yield a creamy texture too - I'll have to try that next time.\n\nYou have the option of adding chocolate of caramel syrup or of course for extra $, additional toppings or whipped cream. I didn't add anything else since the mochi itself would make this dessert sweeter and heavier mind you. \n\nThe staff was great and knowledgeable; the older man who I think is the owner is very passionate about his product and you can see how enthusiastic he is to make it for you. I really think the positively surprised look on people's faces makes his day.",405105
2,"We went late at night so it was about a 15 minute wait to get seated but that was just fine. You end of gambling or strolling around the casino for a bit so it ran by quick. \n\nIt was a noisy place because of all the music (And for being a rockbar..country music was the last thing I was planning to hear.\n\nThe service was fast, and food was just perfect. Only thing I didn't like was the silverware in the glass jar..I didn't know if it was used or what was going on there. There was 2 knifes and a fork in the jar and I was with a friend so that wasn't going to work lol. \n\nWhen the server came back around I asked for extra silverware and she starts looking in the jar. I guess she thought they had enough in there but they didn't so she had someone come around and give us extra. \n\nThe prices are good for the amount of food they give you and it tastes wonderful. Great place to hang with a bunch of friends.",408150
2,"Love this place! My husband and I eat here somewhat regularly and it is always consistent. They prepare some of the best steaks I've eaten; thick, juicy, and tender. Prices are reasonable, plates include salad and potato option. Vegetables are a la carte. \n\nGood ambience, friendly and prompt service, and happy hour available.",409139
2,Ate here two nights in a row. Had the branzino one night and steak the next. Both really tasty. Service was terrific. Our server was Casey (?sp). She was the best.,423768
